2026-06-12 10:35:05 | DEBUG    | trading_bot | Logging initialised. Log file: /Users/kawaljotsingh01/Downloads/trading_bot/logs/trading_bot_20260612.log
2026-06-12 10:35:07 | DEBUG    | trading_bot | Logging initialised. Log file: /Users/kawaljotsingh01/Downloads/trading_bot/logs/trading_bot_20260612.log
2026-06-12 10:35:08 | DEBUG    | trading_bot | Logging initialised. Log file: /Users/kawaljotsingh01/Downloads/trading_bot/logs/trading_bot_20260612.log
2026-06-12 10:35:10 | DEBUG    | trading_bot | Logging initialised. Log file: /Users/kawaljotsingh01/Downloads/trading_bot/logs/trading_bot_20260612.log
2026-06-12 10:35:10 | ERROR    | trading_bot.cli | Validation failed: Symbol 'BTC' has an unexpected length (3). Typical symbols are 5-12 characters (e.g. BTCUSDT, ETHUSDT).
2026-06-12 11:23:58 | DEBUG    | trading_bot | Logging initialised. Log file: /Users/kawaljotsingh01/Downloads/trading_bot/logs/trading_bot_20260612.log
2026-06-12 11:23:58 | DEBUG    | trading_bot.cli | Credentials loaded from environment.
2026-06-12 11:23:58 | DEBUG    | trading_bot.client | BinanceFuturesClient initialised (testnet).
2026-06-12 11:23:58 | DEBUG    | trading_bot.client | → GET /fapi/v1/ping  params={}
2026-06-12 11:23:58 | DEBUG    | trading_bot.client | ← HTTP 200  body={}
2026-06-12 11:23:58 | INFO     | trading_bot.client | Testnet reachable ✓
2026-06-12 11:24:01 | DEBUG    | trading_bot | Logging initialised. Log file: /Users/kawaljotsingh01/Downloads/trading_bot/logs/trading_bot_20260612.log
2026-06-12 11:24:01 | DEBUG    | trading_bot.cli | Credentials loaded from environment.
2026-06-12 11:24:01 | DEBUG    | trading_bot.client | BinanceFuturesClient initialised (testnet).
2026-06-12 11:24:01 | DEBUG    | trading_bot.client | → GET /fapi/v2/account  params={'timestamp': 1781243641292, 'recvWindow': 5000}
2026-06-12 11:24:01 | DEBUG    | trading_bot.client | ← HTTP 401  body={"code":-2015,"msg":"Invalid API-key, IP, or permissions for action"}
2026-06-12 11:24:01 | ERROR    | trading_bot.cli | account command failed: [-2015] Invalid API-key, IP, or permissions for action (HTTP 401)
2026-06-12 11:24:06 | DEBUG    | trading_bot | Logging initialised. Log file: /Users/kawaljotsingh01/Downloads/trading_bot/logs/trading_bot_20260612.log
2026-06-12 11:24:06 | DEBUG    | trading_bot.cli | Credentials loaded from environment.
2026-06-12 11:24:06 | DEBUG    | trading_bot.client | BinanceFuturesClient initialised (testnet).
2026-06-12 11:24:06 | DEBUG    | trading_bot.client | → GET /fapi/v1/ticker/price  params={'symbol': 'BTCUSDT'}
2026-06-12 11:24:06 | DEBUG    | trading_bot.client | ← HTTP 200  body={"price":"63311.20","symbol":"BTCUSDT","time":1781243640328}
2026-06-12 11:24:06 | INFO     | trading_bot.cli | Price fetched: BTCUSDT = 63311.2000
